Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity
org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,0.866666667,86.66666667,21
org.apache.commons.configuration2.beanutils,DefaultBeanFactory,0.9,90,31
org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,1,100,10
org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,0.777777778,77.77777778,43
org.apache.commons.configuration2.beanutils,ConstructorArg,0.916666667,91.66666667,17
org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,1,100,20
org.apache.commons.configuration2.beanutils,BeanHelper,0.78,78,49
org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,0.772727273,77.27272727,34
org.apache.commons.configuration2,DynamicCombinedConfiguration,0.519230769,51.92307692,111
org.apache.commons.configuration2,ConfigurationLookup,1,100,4
org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,1,100,4
org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,0.875,87.5,15
org.apache.commons.configuration2,StrictConfigurationComparator,1,100,10
org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,0.916666667,91.66666667,12
org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,0.888888889,88.88888889,39
org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter,1,100,5
org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,1,100,8
org.apache.commons.configuration2,INIConfiguration,0.962121212,96.21212121,96
org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,0.95,95,19
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0.5,50,3
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,6
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,5
org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0.95,95,14
org.apache.commons.configuration2,ConfigurationUtils,0.970588235,97.05882353,42
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,3
org.apache.commons.configuration2,ConfigurationConverter,1,100,8
org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,1,100,9
org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,0.833333333,83.33333333,5
org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,0.7,70,11
org.apache.commons.configuration2,XMLDocumentHelper,1,100,20
org.apache.commons.configuration2,XMLListReference,0.95,95,18
org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,0.954545455,95.45454545,29
org.apache.commons.configuration2,PropertiesConfigurationLayout,0.952380952,95.23809524,79
org.apache.commons.configuration2,XMLPropertiesConfiguration,0.588235294,58.82352941,32
org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,1,100,4
org.apache.commons.configuration2,SubsetConfiguration,0.833333333,83.33333333,32
org.apache.commons.configuration2,AbstractHierarchicalConfiguration,0.980769231,98.07692308,62
org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,0.3125,31.25,71
org.apache.commons.configuration2,AbstractConfiguration,0.8671875,86.71875,171
org.apache.commons.configuration2,BaseConfiguration,1,100,15
org.apache.commons.configuration2,CombinedConfiguration,0.957142857,95.71428571,71
org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,1,100,7
org.apache.commons.configuration2,DataConfiguration,0.833333333,83.33333333,104
org.apache.commons.configuration2,PropertiesConfiguration,0.860465116,86.04651163,77
org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0.928571429,92.85714286,23
org.apache.commons.configuration2,SubnodeConfiguration,1,100,14
org.apache.commons.configuration2,PrefixedKeysIterator,0.8125,81.25,13
org.apache.commons.configuration2,SystemConfiguration,0.833333333,83.33333333,9
org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},0.875,87.5,12
org.apache.commons.configuration2,DatabaseConfiguration,1,100,36
org.apache.commons.configuration2,MapConfiguration,1,100,20
org.apache.commons.configuration2,HierarchicalConfigurationConverter,0.888888889,88.88888889,15
org.apache.commons.configuration2,BaseHierarchicalConfiguration,0.96875,96.875,50
org.apache.commons.configuration2,ConfigurationXMLReader,0.928571429,92.85714286,30
org.apache.commons.configuration2,XMLConfiguration,0.990566038,99.05660377,91
org.apache.commons.configuration2,CompositeConfiguration,0.923076923,92.30769231,66
org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,1,100,4
org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,1,100,5
org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesReader,0.875,87.5,12
org.apache.commons.configuration2,CombinedConfiguration.ConfigData,1,100,14
org.apache.commons.configuration2,JNDIConfiguration,0.894736842,89.47368421,38
org.apache.commons.configuration2,BaseHierarchicalConfiguration.InterpolatedVisitor,0.714285714,71.42857143,20
org.apache.commons.configuration2,FindNodeVisitor,1,100,6
org.apache.commons.configuration2.event,EventListenerRegistrationData,0.916666667,91.66666667,11
org.apache.commons.configuration2.event,BaseEventSource,1,100,27
org.apache.commons.configuration2.event,EventType,1,100,9
org.apache.commons.configuration2.event,EventListenerList,0.954545455,95.45454545,25
org.apache.commons.configuration2.event,Event,1,100,6
org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,1,100,16
org.apache.commons.configuration2.convert,DefaultConversionHandler,1,100,41
org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,1,100,18
org.apache.commons.configuration2.convert,PropertyConverter,0.840909091,84.09090909,115
org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,0.954545455,95.45454545,18
org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,0.868421053,86.84210526,28
org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,0.5,50,7
org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,1,100,11
org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,1,100,22
org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,0.982758621,98.27586207,46
org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,0.916666667,91.66666667,24
org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0.875,87.5,20
org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,0.75,75,16
org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData,0.95,95,24
org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,0.928571429,92.85714286,13
org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,1,100,17
org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,0.865853659,86.58536585,85
org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,1,100,12
org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,1,100,9
org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,1,100,13
org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,1,100,35
org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,0.9375,93.75,38
org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,0.75,75,6
org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,1,100,5
org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,1,100,17
org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},1,100,3
org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,1,100,26
org.apache.commons.configuration2.builder.fluent,Parameters,1,100,17
org.apache.commons.configuration2.builder.fluent,Configurations,1,100,42
org.apache.commons.configuration2.builder.fluent,Parameters.ParametersIfcInvocationHandler,1,100,6
org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0.975,97.5,39
org.apache.commons.configuration2.builder,AutoSaveListener,1,100,13
org.apache.commons.configuration2.builder,DefaultParametersManager.DefaultHandlerData,0.916666667,91.66666667,9
org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,1,100,4
org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,1,100,30
org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,1,100,3
org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder.new ReloadingDetector() {...},1,100,6
org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,1,100,4
org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,1,100,4
org.apache.commons.configuration2.builder,BasicBuilderParameters,1,100,52
org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,1,100,12
org.apache.commons.configuration2.builder,BasicConfigurationBuilder,0.975,97.5,56
org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.BuilderConfigurationWrapperInvocationHandler,1,100,6
org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,1,100,9
org.apache.commons.configuration2.builder,DefaultParametersManager,1,100,12
org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,1,100,5
org.apache.commons.configuration2.io,FileLocatorUtils,0.932432432,93.24324324,61
org.apache.commons.configuration2.io,BasePathLocationStrategy,1,100,4
org.apache.commons.configuration2.io,DefaultFileSystem,0.789473684,78.94736842,29
org.apache.commons.configuration2.io,CombinedLocationStrategy,1,100,7
org.apache.commons.configuration2.io,FileSystem,1,100,7
org.apache.commons.configuration2.io,DefaultFileSystem.HttpOutputStream,1,100,9
org.apache.commons.configuration2.io,FileHandler.Updater,0.5,50,3
org.apache.commons.configuration2.io,VFSFileSystem,0.180555556,18.05555556,46
org.apache.commons.configuration2.io,FileLocator.FileLocatorBuilder,1,100,10
org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,1,100,13
org.apache.commons.configuration2.io,FileLocator,1,100,14
org.apache.commons.configuration2.io,ConfigurationLogger,1,100,18
org.apache.commons.configuration2.io,FileUtils,0.777777778,77.77777778,13
org.apache.commons.configuration2.io,FileHandler,0.948717949,94.87179487,116
org.apache.commons.configuration2.io,ClasspathLocationStrategy,1,100,3
org.apache.commons.configuration2.sync,ReadWriteSynchronizer,1,100,8
org.apache.commons.configuration2.plist,TokenMgrError,0,0,19
org.apache.commons.configuration2.plist,XMLPropertyListConfiguration,0.78125,78.125,45
org.apache.commons.configuration2.plist,PropertyListConfiguration.DateSeparatorParser,1,100,4
org.apache.commons.configuration2.plist,ParseException,0.3125,31.25,25
org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.XMLPropertyListHandler,0.904761905,90.47619048,31
org.apache.commons.configuration2.plist,PropertyListConfiguration.DateTimeZoneParser,1,100,4
org.apache.commons.configuration2.plist,PropertyListParserTokenManager,0.486577181,48.65771812,197
org.apache.commons.configuration2.plist,PropertyListConfiguration.DateComponentParser,1,100,4
org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.PListNodeBuilder,0.625,62.5,18
org.apache.commons.configuration2.plist,SimpleCharStream,0.333333333,33.33333333,67
org.apache.commons.configuration2.plist,PropertyListParser,0.544554455,54.45544554,151
org.apache.commons.configuration2.plist,PropertyListConfiguration,0.75,75,57
org.apache.commons.configuration2.resolver,DefaultEntityResolver,0.5,50,7
org.apache.commons.configuration2.resolver,CatalogResolver,0.571428571,57.14285714,19
org.apache.commons.configuration2.resolver,CatalogResolver.CatalogManager,0.375,37.5,13
org.apache.commons.configuration2.resolver,CatalogResolver.Catalog,0.6,60,14
org.apache.commons.configuration2.reloading,CombinedReloadingController,1,100,9
org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,1,100,17
org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,1,100,10
org.apache.commons.configuration2.reloading,CombinedReloadingController.MultiReloadingControllerDetector,1,100,6
org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,1,100,23
org.apache.commons.configuration2.reloading,ReloadingController,1,100,12
org.apache.commons.configuration2.tree,NodeUpdateData,1,100,9
org.apache.commons.configuration2.tree,TrackedNodeModel,1,100,20
org.apache.commons.configuration2.tree,DefaultConfigurationKey,0.943181818,94.31818182,72
org.apache.commons.configuration2.tree,ModelTransaction,0.931818182,93.18181818,57
org.apache.commons.configuration2.tree,ImmutableNode,1,100,32
org.apache.commons.configuration2.tree,OverrideCombiner,0.95,95,14
org.apache.commons.configuration2.tree,NodeSelector,1,100,15
org.apache.commons.configuration2.tree,DefaultExpressionEngine,0.977272727,97.72727273,36
org.apache.commons.configuration2.tree,NodeTracker,0.928571429,92.85714286,30
org.apache.commons.configuration2.tree,DefaultConfigurationKey.KeyIterator,0.946428571,94.64285714,49
org.apache.commons.configuration2.tree,QueryResult,1,100,14
org.apache.commons.configuration2.tree,NodeTracker.TrackedNodeData,1,100,13
org.apache.commons.configuration2.tree,ImmutableNode.Builder,1,100,29
org.apache.commons.configuration2.tree,InMemoryNodeModel,0.942622951,94.26229508,124
org.apache.commons.configuration2.tree,ReferenceTracker,0.8,80,16
org.apache.commons.configuration2.tree,InMemoryNodeModel.new ConfigurationNodeVisitorAdapter() {...},1,100,3
org.apache.commons.configuration2.tree,ModelTransaction.Operations,1,100,15
org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,1,100,22
org.apache.commons.configuration2.tree,NodeAddData,1,100,7
org.apache.commons.configuration2.tree,TreeData,1,100,18
org.apache.commons.configuration2.tree,MergeCombiner,0.964285714,96.42857143,19
org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,1,100,14
org.apache.commons.configuration2.tree,TreeUtils,0.916666667,91.66666667,8
org.apache.commons.configuration2.tree,UnionCombiner,1,100,11
org.apache.commons.configuration2.tree,NodeTreeWalker,1,100,18
