GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Core,org.apache.maven.doxia.macro,MacroRequest,4,64,0,4,2,17,1,10,1,8
Doxia :: Core,org.apache.maven.doxia.macro,MacroExecutionException,4,5,0,0,2,2,1,1,1,1
Doxia :: Core,org.apache.maven.doxia.macro,Macro,0,7,0,0,0,2,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.macro,EchoMacro,0,57,0,6,0,10,0,5,0,2
Doxia :: Core,org.apache.maven.doxia.macro,SsiMacro,0,86,0,8,0,18,0,7,0,3
Doxia :: Core,org.apache.maven.doxia.macro,SwfMacro,13,306,15,33,4,70,13,13,0,2
Doxia :: Core,org.apache.maven.doxia.macro,AbstractMacro,4,66,2,8,2,17,2,8,0,5
Doxia :: Core,org.apache.maven.doxia,DefaultDoxia,25,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia,Doxia,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.parser.module,AbstractParserModule,62,0,0,0,19,0,8,0,8,0
Doxia :: Core,org.apache.maven.doxia.parser.module,DefaultParserModuleManager,58,0,6,0,12,0,6,0,3,0
Doxia :: Core,org.apache.maven.doxia.parser.module,ParserModuleNotFoundException,13,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia.parser.manager,ParserManager,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.parser.manager,DefaultParserManager,25,0,2,0,5,0,3,0,2,0
Doxia :: Core,org.apache.maven.doxia.parser.manager,ParserNotFoundException,13,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia.macro.snippet,SnippetReader,18,188,4,26,3,45,5,20,1,9
Doxia :: Core,org.apache.maven.doxia.macro.snippet,SnippetMacro,71,277,9,21,13,64,9,18,1,11
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractSink,2,78,1,13,1,19,1,11,0,5
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractBinarySinkFactory,59,0,6,0,11,0,7,0,4,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,SinkAdapter,15,312,5,39,5,195,8,142,4,124
Doxia :: Core,org.apache.maven.doxia.sink.impl,SinkEventAttributeSet,0,514,1,43,0,106,1,47,0,26
Doxia :: Core,org.apache.maven.doxia.sink.impl,XhtmlBaseSink,466,1739,88,163,106,518,105,154,19,113
Doxia :: Core,org.apache.maven.doxia.sink.impl,RandomAccessSink,658,154,1,5,267,42,126,10,125,8
Doxia :: Core,org.apache.maven.doxia.sink.impl,SinkUtils,0,478,2,22,0,64,2,15,0,5
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractXmlSink,4,153,1,15,2,43,2,17,1,10
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractTextSinkFactory,55,12,6,0,10,2,6,2,3,2
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractTextSink,3,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractXmlSinkFactory,0,3,0,0,0,1,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.sink.impl,PipelineSink,46,0,2,0,10,0,5,0,4,0
Doxia :: Core,org.apache.maven.doxia.parser,XhtmlBaseParser,113,2423,38,228,28,588,31,138,3,33
Doxia :: Core,org.apache.maven.doxia.parser,AbstractTextParser,5,0,0,0,2,0,2,0,2,0
Doxia :: Core,org.apache.maven.doxia.parser,AbstractXmlParser.CachedFileEntityResolver,153,168,9,11,19,42,8,7,0,5
Doxia :: Core,org.apache.maven.doxia.parser,ParseException,96,0,4,0,24,0,14,0,12,0
Doxia :: Core,org.apache.maven.doxia.parser,AbstractParser,67,59,3,3,21,21,10,9,8,8
Doxia :: Core,org.apache.maven.doxia.parser,AbstractXmlParser,173,422,21,59,40,115,23,43,7,19
Doxia :: Core,org.apache.maven.doxia.parser,Parser,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.macro.manager,MacroNotFoundException,9,4,0,0,4,2,2,1,2,1
Doxia :: Core,org.apache.maven.doxia.macro.manager,MacroManager,0,4,0,0,0,1,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.macro.manager,DefaultMacroManager,0,25,0,2,0,5,0,3,0,2
Doxia :: Core,org.apache.maven.doxia.index,IndexingSink,48,134,2,3,24,46,12,16,10,15
Doxia :: Core,org.apache.maven.doxia.index,IndexEntry,83,155,13,13,21,42,12,18,4,13
Doxia :: Core,org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Reader,648,1658,110,222,123,292,96,104,16,18
Doxia :: Core,org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Writer,74,1302,92,98,15,218,92,16,1,12
Doxia :: Core,org.apache.maven.doxia.util,ByLineReaderSource,34,77,5,7,12,26,5,9,2,6
Doxia :: Core,org.apache.maven.doxia.util,LineBreaker,171,0,20,0,52,0,20,0,9,0
Doxia :: Core,org.apache.maven.doxia.util,DoxiaUtils,48,360,8,86,13,55,7,52,1,11
Doxia :: Core,org.apache.maven.doxia.util,HtmlTools,22,809,9,60,5,99,9,41,0,14
Doxia :: Core,org.apache.maven.doxia.util,XmlValidator.MessagesErrorHandler,121,17,10,0,32,8,10,3,4,3
Doxia :: Core,org.apache.maven.doxia.util,XmlValidator,36,105,7,5,5,28,6,5,0,5
Doxia :: Core,org.apache.maven.doxia.macro.toc,TocMacro,34,209,8,22,4,53,8,11,0,4
Doxia :: Core,org.apache.maven.doxia.document,DocumentMeta,264,1419,165,119,33,273,139,66,4,59
Doxia :: Core,org.apache.maven.doxia.document,DocumentAuthor,131,774,100,62,6,144,82,34,1,34
Doxia :: Core,org.apache.maven.doxia.document,DocumentHyperlinkBehaviour,10,77,8,6,2,19,7,6,0,6
Doxia :: Core,org.apache.maven.doxia.document,DocumentTOC,31,174,16,14,8,37,17,10,3,9
Doxia :: Core,org.apache.maven.doxia.document,DocumentCover,131,651,84,54,16,123,69,32,2,30
Doxia :: Core,org.apache.maven.doxia.document,DocumentModel,26,236,25,19,1,50,21,15,0,14
Doxia :: Core,org.apache.maven.doxia.document,DocumentTOCItem,48,217,23,19,10,44,24,11,4,10
Doxia :: Core,org.apache.maven.doxia.document,DocumentTemplate,30,237,26,20,3,47,22,14,0,13
Doxia :: Core,org.apache.maven.doxia.document,DocumentStatistic,18,738,30,30,2,149,30,32,0,32
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
