GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation score(%),Branch Coverage
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4,81,86.66666667
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,257,3,27,0,67,3,28,0,16,0,90
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25,18,77.77777778
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,112,1,11,0,26,1,16,0,11,0,91.66666667
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7,100,100
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,107,7,42,0,24,7,78
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,296,10,34,7,61,9,25,0,12,0,77.27272727
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,392,465,25,27,83,124,68,43,50,35,47,51.92307692
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,31,0,2,0,9,0,4,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,0,63,0,16,0,19,0,10,0,2,100,100
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,15,840,5,127,3,220,6,90,1,29,76,96.21212121
Apache Commons Configuration,org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,6,214,1,19,1,50,1,18,0,9,0,95
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,36,371,1,33,11,97,4,38,3,22,89,97.05882353
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,0,76,0,6,0,24,0,8,0,5,100,100
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18,100,100
Apache Commons Configuration,org.apache.commons.configuration2,XMLListReference,0,150,1,19,0,38,1,17,0,8,86,95
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,663,4,80,5,174,4,75,0,37,95,95.23809524
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,305,14,20,15,82,14,18,2,13,72,58.82352941
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20,95,83.33333333
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,592,1,51,2,138,1,61,0,36,9,98.07692308
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,429,82,11,5,73,17,65,6,57,6,8,31.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,87,1403,17,111,11,346,16,155,1,105,0,86.71875
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,137,0,8,2,35,0,15,0,11,0,100
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,201,3,68,0,36,95,95.71428571
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,712,2,10,3,136,4,100,2,96,89,83.33333333
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,43,588,12,74,10,160,13,64,1,33,95,86.04651163
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,99,0,6,0,26,0,14,0,11,100,100
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5,100,81.25
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,78,1,5,2,21,2,7,1,5,0,83.33333333
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,36,214,0,18,12,62,6,30,6,21,47,100
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,27,141,0,10,3,38,1,19,1,14,0,100
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,1,180,2,16,1,45,2,13,0,6,90,88.88888889
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,4,558,1,31,1,138,1,49,0,34,94,96.875
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,24,110,1,13,14,41,10,20,9,14,70,92.85714286
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,32,903,1,105,7,240,1,90,0,38,0,99.05660377
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,17,592,6,72,7,158,6,60,0,27,88,92.30769231
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,18,365,4,34,5,105,7,31,3,16,85,89.47368421
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,10,0,6,0,5,100,100
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4,71,91.66666667
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,0,215,0,20,0,58,0,27,0,17,100,100
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6,100,100
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,176,1,21,0,45,1,24,0,14,100,95.45454545
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5,100,100
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,303,0,46,0,67,0,41,0,18,100,100
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5,100,100
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,188,1115,28,148,26,211,29,86,1,26,92,84.09090909
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7,0,95.45454545
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8,87,86.84210526
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,5,8,2,5,1,4,60,50
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,0,100,0,12,0,24,0,11,0,5,100,100
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,0,194,0,30,0,50,0,22,0,7,100,100
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,23,459,1,57,8,114,1,45,0,17,88,98.27586207
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,4,135,1,11,2,35,2,22,1,17,84,91.66666667
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0,127,2,14,0,24,2,18,0,12,97,87.5
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,1,22,2,14,1,13,93,75
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,1,88,1,13,1,22,1,12,0,6,94,92.85714286
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,4,87,0,14,2,24,2,15,2,8,88,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,1019,11,71,4,257,11,74,0,44,0,86.58536585
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,23,0,12,0,10,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,1,16,1,8,1,6,88,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,0,97,0,6,0,32,0,13,0,10,92,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,6,231,0,20,1,68,1,34,1,24,97,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,2,415,2,30,1,106,2,36,0,22,98,93.75
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,0,15,1,5,0,4,90,75
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,19,0,5,0,4,0,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,0,152,0,10,0,33,0,17,0,12,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,6,242,0,18,2,61,0,26,0,17,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,0,185,0,2,0,28,0,17,0,16,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,0,269,0,2,0,44,0,42,0,41,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0,276,1,39,0,84,1,38,0,19,90,97.5
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,0,73,0,12,0,22,0,13,0,7,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,0,33,0,2,0,13,0,4,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,0,206,0,18,0,65,0,30,0,21,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,0,24,0,2,0,6,0,3,0,2,67,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,0,25,0,2,0,7,0,4,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,0,38,0,2,0,14,0,4,0,3,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicBuilderParameters,6,455,0,46,2,109,0,52,0,29,97,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,0,87,0,2,0,27,0,12,0,11,100,100
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder,2,448,1,39,1,135,1,55,0,36,93,97.5
